asin,name,brand,price_usd,weight,rating,review_count,stock,url,scraped_at
B0CN1QJ2N9,Cafe Bustelo Instant Coffee 2pk 7.05oz,J.M. Smuckers,273.13,N/A,4.8,208,In Stock,https://www.amazon.com/Cafe-Bustelo-Instant-Coffee-7-05oz/dp/B0CN1QJ2N9/ref=sr_1_7,2026-07-20 23:28:17
B0D1VN9691,"Blackout Coffee Colombian Arabica Instant Coffee – Medium Roast, Strong Aromatic, Single Serve Packets – Premium Quality 32 Count.",Blackout Coffee Co.,324.40,N/A,4.5,283,In Stock,https://www.amazon.com/Blackout-Coffee-Colombian-Arabica-Aromatic/dp/B0D1VN9691/ref=sr_1_8,2026-07-20 23:30:36
B000ESJR20,Mount Hagen 3.53oz Organic Freeze Dried Instant Coffee - 6 pack | Eco-friendly Coffee Made From Organic Medium Roast Arabica Beans | Fair-Trade Coffee Instant [6 x 3.53oz Jar],Mount Hagen,1203.14,N/A,4.7,3906,In Stock,https://www.amazon.com/Mount-Hagen-Organic-Instant-3-53-Ounce/dp/B000ESJR20/ref=sr_1_9,2026-07-20 23:29:20
B0B53Y7Z7D,"Everyday Dose Premium Adaptogenic Mushroom Coffee with Grass-Fed Collagen, Chaga, Lions Mane & L-Theanine for Better Focus, Energy, Digestion, Skin, and Immunity 30 Servings",Everyday Dose,527.31,N/A,4.5,9609,In Stock,https://www.amazon.com/Everyday-Dose-Grass-Fed-L-Theanine-Suntheanine/dp/B0B53Y7Z7D/ref=sr_1_10,2026-07-20 23:30:21
B07J1ZN2GD,"Taster's Choice Original Gourmet Instant Coffee 14 Oz, Pack of 2",Taster's Choice,824.18,N/A,4.8,1488,In Stock,https://www.amazon.com/Tasters-Choice-Original-Gourmet-Instant/dp/B07J1ZN2GD/ref=sr_1_14,2026-07-20 23:32:19
B003SD83GE,"Hills Bros. Cappuccino Mix – Rich, Frothy Coffeehouse-Tasting Instant Drink Mix – Quick and Easy Preparation – Perfect for Hot & Iced Drinks & Creaming Coffee – English Toffee, 1 Pack of 16oz",Hills Bros,69.56,N/A,4.5,9181,In Stock,https://www.amazon.com/Hills-Bros-Cappuccino-English-Toffee/dp/B003SD83GE/ref=sr_1_15,2026-07-20 23:38:10
B07J1TMT65,"Taster's Choice Original Gourmet Instant Coffee 14 Oz, Pack of 3",Taster's Choice,214.12,N/A,4.7,541,In Stock,https://www.amazon.com/Tasters-Choice-Original-Gourmet-Instant/dp/B07J1TMT65/ref=sr_1_16,2026-07-20 23:33:40
B07QD118ZG,Tim Hortons Premium Instant Coffee (Medium),Tim Hortons,230.44,N/A,4.4,3220,In Stock,https://www.amazon.com/Tim-Hortons-Premium-Instant-Coffee/dp/B07QD118ZG/ref=sr_1_21,2026-07-20 23:34:44
B0014CVFAC,"Folgers Classic Decaf Instant Coffee, 8 Oz. Jar",Folgers,214.12,N/A,4.7,3291,In Stock,https://www.amazon.com/Folgers-Classic-Instant-Decaffeinated-Coffee/dp/B0014CVFAC/ref=sr_1_22,2026-07-20 23:35:30
B003SDA2UY,"Hills Bros. Cappuccino Mix – Rich, Frothy Coffeehouse-Tasting Instant Drink Mix – Quick and Easy Preparation – Perfect for Hot & Iced Drinks & Creaming Coffee – Double Mocha, 1 Pack of 16oz",Hills Bros,98.74,N/A,4.6,1190,Out of Stock,https://www.amazon.com/Hills-Bros-Instant-Cappuccino-Double/dp/B003SDA2UY/ref=sr_1_23,2026-07-20 23:36:35
B000SHMQW0,"illy Intenso Ground Espresso Coffee, Bold Roast, Intense, Robust and Full Flavored With Notes of Deep Cocoa, 100% Arabica Coffee, No Preservatives, 8.8 Ounce Can (Pack of 1)",N/A,210.00,N/A,4.6,6593,In Stock,https://www.amazon.com/Illy-Intenso-Espresso-Flavored-Preservatives/dp/B000SHMQW0/ref=sr_1_24,2026-07-20 23:37:32
B0041QGC0Q,"Douwe Egberts Pure Gold Instant Coffee, Medium Roast, 6.7-Ounce, 190g (Packaging May Vary)",Douwe Egberts,411.93,N/A,4.5,749,In Stock,https://www.amazon.com/Douwe-Egberts-Instant-7-05-Ounce-Packaging/dp/B0041QGC0Q/ref=sr_1_27,2026-07-20 23:38:37
B0BV61RJJW,Nescafe Dark Roast Instant Coffee | Clasico | 10.5 oz Jar | Pack of 2,Nescafe,169.87,N/A,4.6,9607,In Stock,https://www.amazon.com/NESCAFE-CLASICO-Roast-Instant-Coffee/dp/B0BV61RJJW/ref=sr_1_28,2026-07-20 23:39:27
B0CPQ68SPN,Cartograph Organic Instant Coffee Packets Single Serve 10PK - Medium Roast Instant Espresso - Freeze Dried Coffee Instant Powder - Individual Coffee Packets - Gourmet Instant Coffee Sticks,CARTOGRAPH COFFEE,131.70,N/A,4.2,320,In Stock,https://www.amazon.com/Cartograph-Organic-Instant-Coffee-Packets/dp/B0CPQ68SPN/ref=sr_1_29,2026-07-20 23:39:18
B00UT44DZK,"Maxwell House Instant Cafe-Style Beverage Mix, Easy to Prepare, 1 Canister, for Quick Morning Coffee or Afternoon Treat, Cafe Vienna, Kosher Dairy, 9 oz",MAXWELL HOUSE,73.52,N/A,4.7,1839,In Stock,https://www.amazon.com/Maxwell-Cafe-Style-Beverage-Canister-Afternoon/dp/B00UT44DZK/ref=sr_1_30,2026-07-20 23:45:25
B00UT43YN2,"Maxwell House Instant Cafe-Style Beverage Mix, Easy to Prepare, 1 Canister, for Quick Morning Coffee or Afternoon Treat, Cafe Francais, Kosher Dairy, 7.6 oz (Packaging May Vary)",MAXWELL HOUSE,78.96,N/A,4.6,3555,In Stock,https://www.amazon.com/Cafe-Style-Beverage-Canister-Afternoon-Packaging/dp/B00UT43YN2/ref=sr_1_31,2026-07-20 23:40:31
B0188IQO5A,"NESCAFÉ Taster's Choice, Instant Coffee Packets, Light Medium Roast Coffee, House Blend, 8 Boxes (144 Packets)",Taster's Choice,N/A,N/A,4.6,213,In Stock,https://www.amazon.com/NESCAF%C3%89-Tasters-Choice-Instant-Packets/dp/B0188IQO5A/ref=sr_1_32,2026-07-20 23:41:25
B003YBH1WM,"Vinacafe Vietnamese Instant Coffee 100 Sticks 3 in 1 Milk Coffee Blend, Smooth Medium Roast Instant Mix for Fast Brewing at Office or Travel",Vinacafe,634.45,N/A,4.6,457,In Stock,https://www.amazon.com/Vinacafe-Premium-Coffee-24-Count-Packages/dp/B003YBH1WM/ref=sr_1_33,2026-07-20 23:42:31
B0DJSKQRPM,"Mushroom Coffee, Instant Mushroom Coffee with Cordyceps, Reishi, King Trumpet, Shiitake, Turkey Tail, Lions Mane for Energy, Focus, Positive Mood & Immune Support (30 Servings)",YEGE,295.88,N/A,4.3,2237,In Stock,https://www.amazon.com/Mushroom-Instant-Cordyceps-Positive-Servings/dp/B0DJSKQRPM/ref=sr_1_34,2026-07-20 23:44:37
B01B50WLWS,Nescafe Gold Blend Coffee - 750g,Nescafe,1190.78,N/A,4.6,2445,In Stock,https://www.amazon.com/Nescafe-Gold-Blend-Coffee-750g/dp/B01B50WLWS/ref=sr_1_35,2026-07-20 23:45:33
B087N121HT,"Z Natural Foods Organic Instant Coffee Powder - Rich Dark Roast Flavor, Arabica Instant Espresso Powder with Antioxidants to Boost Energy, Mood & Focus - Gourmet Coffee in Resealable Bag, 8 oz",Z Natural Foods,329.51,N/A,4.3,305,In Stock,https://www.amazon.com/Organic-Instant-Coffee-Powder-Colombian/dp/B087N121HT/ref=sr_1_36,2026-07-20 23:48:01
B0D1GG7HQQ,"Nescafé Clásico Coffee, Medium Roast, Instant | Colombia | 6 oz Jar | Pack of 2",Nescafe,444.40,N/A,4.6,2352,In Stock,https://www.amazon.com/NESCAF%C3%89-CL%C3%81SICO-Colombia-Medium-Instant/dp/B0D1GG7HQQ/ref=sr_1_37,2026-07-20 23:46:18
B07N16TLQ5,"Waka Premium Instant Coffee, Colombian Medium Roast, 3.5 oz | 100% Single-Origin Arabica, Freeze-Dried Granules, Kosher, Makes up to 35 Hot or Iced Cups",Waka Coffee,197.64,N/A,4,281,In Stock,https://www.amazon.com/coffee-parent-Ounces-Medium-Roast/dp/B07N16TLQ5/ref=sr_1_38,2026-07-20 23:47:48
B0DHP915W6,"Bunkell Mushroom Coffee, Instant Coffee Blend with 6 Adaptogenic Mushrooms (Lion's Mane, Reishi, Cordyceps, Shiitake, King Trumpet & Turkey Tail) for Energy, Digestion & Immune Support, 30 Servings",Bunkell,324.40,N/A,4.2,3714,Out of Stock,https://www.amazon.com/Bunkell-Mushroom-Mushrooms-Cordyceps-Digestion/dp/B0DHP915W6/ref=sr_1_39,2026-07-20 23:56:08
B00J61BSMS,Kenco Rich Instant Coffee Eco Refill 150 g (Pack of 6),Kenco,251.87,N/A,4.8,1408,In Stock,https://www.amazon.com/Kenco-Rich-Instant-Coffee-Refill/dp/B00J61BSMS/ref=sr_1_40,2026-07-20 23:49:19
B01FDLA52I,"NESCAFÉ Taster's Choice Instant Coffee, Light Medium Roast Coffee, House Blend, 2 Jars (7 Oz Each) | Light-medium roast House Blend instant coffee; 2 jars, 7 oz each",Taster's Choice,N/A,N/A,4.7,12126,In Stock,https://www.amazon.com/Nescafe-Tasters-Choice-Instant-Coffee/dp/B01FDLA52I/ref=sr_1_41,2026-07-20 23:51:26
B0GPRFVMN7,"Javvy Protein Iced Coffee - Premium Whey Protein & Iced Coffees, 100% Natural Cold Brew, Zero Artificial Flavors & Sweeteners, 80mg Caffeine, No Added Sugar, 20 Servings, Caramel, 1 Pack",Javvy,648.30,N/A,4,4320,Out of Stock,https://www.amazon.com/Javvy-Protein-Iced-Coffee-Artificial/dp/B0GPRFVMN7/ref=sr_1_42,2026-07-20 23:53:29
B07VX6H4K8,"Folgers Instant Coffee Crystals, Classic Roast, 24 Ounces",Folgers,444.40,N/A,4.7,30241,Out of Stock,https://www.amazon.com/Folgers-Instant-Coffee-Crystals-Classic/dp/B07VX6H4K8/ref=sr_1_43,2026-07-20 23:55:36
B09XFLNVYC,Jacobs Kronung Instant Coffee 200 Gram / 7.05 Ounce (Pack of 6),Jacobs,338.41,N/A,4.7,48,In Stock,https://www.amazon.com/Jacobs-Kronung-Instant-Coffee-Ounce/dp/B09XFLNVYC/ref=sr_1_45,2026-07-20 23:57:57
